location,size,total_sqft,bath,price,bhk,price_per_sqft
KR Puram,2 BHK,1277.5,2.0,56.8,2,4446
Marathahalli,2 BHK,1200.0,2.0,52.0,2,4333
Kanakpura Road,4 Bedroom,2250.0,4.0,110.0,4,4888
Pattandur Agrahara,3 BHK,1550.0,2.0,80.0,3,5161
Bellandur,4 Bedroom,1200.0,5.0,325.0,4,27083
other,7 Bedroom,1800.0,7.0,250.0,7,13888
Marathahalli,2 BHK,1200.0,2.0,60.0,2,5000
Yelahanka,2 BHK,1327.0,2.0,98.0,2,7385
Kothanur,2 BHK,1186.0,2.0,58.0,2,4890
other,3 Bedroom,1783.0,3.0,115.0,3,6449
HSR Layout,3 BHK,1400.0,3.0,56.0,3,4000
Nagasandra,2 BHK,980.0,2.0,48.0,2,4897
EPIP Zone,2 BHK,1285.0,2.0,82.0,2,6381
other,3 BHK,912.0,2.0,70.0,3,7675
Whitefield,2 BHK,1225.0,2.0,47.6,2,3885
Whitefield,2 BHK,1075.0,2.0,53.0,2,4930
Kadugodi,3 BHK,1260.0,2.0,54.0,3,4285
Yelahanka,3 BHK,1282.0,2.0,48.7,3,3798
Kogilu,3 BHK,1909.0,3.0,88.0,3,4609
Panathur,2 BHK,1359.0,2.0,87.0,2,6401
other,2 BHK,1207.0,2.0,43.5,2,3603
Padmanabhanagar,4 Bedroom,1736.0,6.0,190.0,4,10944
1st Block Jayanagar,4 BHK,2850.0,4.0,428.0,4,15017
Kammasandra,3 BHK,1595.0,3.0,65.0,3,4075
other,3 BHK,1798.0,3.0,89.0,3,4949
Electronics City Phase 1,3 BHK,1475.0,3.0,78.29,3,5307
other,3 BHK,1580.0,3.0,100.0,3,6329
Dasarahalli,2 BHK,1295.0,2.0,65.0,2,5019
Magadi Road,6 Bedroom,3600.0,6.0,141.0,6,3916
Electronic City,1 BHK,589.0,1.0,27.0,1,4584
other,3 BHK,1415.0,3.0,78.0,3,5512
Sarjapur  Road,3 BHK,1787.0,3.0,98.29,3,5500
Sarjapur  Road,3 BHK,1787.0,3.0,125.0,3,6994
Koramangala,3 BHK,1475.0,2.0,90.0,3,6101
other,4 BHK,2000.0,4.0,75.5,4,3775
Sarjapur  Road,2 BHK,984.0,2.0,44.28,2,4500
other,3 BHK,2405.0,4.0,260.0,3,10810
7th Phase JP Nagar,2 BHK,1080.0,2.0,72.0,2,6666
other,2 Bedroom,1500.0,2.0,115.0,2,7666
Hebbal,3 BHK,1900.0,3.0,119.0,3,6263
Dommasandra,2 BHK,805.0,2.0,22.14,2,2750
Budigere,2 BHK,1153.0,2.0,56.4,2,4891
other,2 BHK,1148.0,2.0,60.0,2,5226
other,2 BHK,1110.0,2.0,55.0,2,4954
Electronic City,2 BHK,1100.0,2.0,42.0,2,3818
Kalyan nagar,2 BHK,1290.0,2.0,110.0,2,8527
other,3 BHK,1500.0,2.0,65.0,3,4333
other,2 BHK,1080.0,2.0,39.0,2,3611
Vijayanagar,3 BHK,1933.0,3.0,129.0,3,6673
Ramamurthy Nagar,5 Bedroom,3500.0,5.0,150.0,5,4285
other,2 BHK,1060.0,2.0,60.0,2,5660
Chandapura,1 BHK,645.0,1.0,16.45,1,2550
other,8 Bedroom,2600.0,8.0,180.0,8,6923
Chandapura,1 BHK,645.0,1.0,16.45,1,2550
other,3 BHK,1644.0,3.0,84.0,3,5109
other,2 BHK,1285.0,2.0,72.5,2,5642
Electronic City,3 Bedroom,1200.0,3.0,90.0,3,7500
Electronic City,2 BHK,910.0,2.0,40.0,2,4395
Kothanur,3 BHK,1577.0,3.0,70.0,3,4438
other,3 Bedroom,4050.0,3.0,280.0,3,6913
OMBR Layout,3 BHK,2420.0,3.0,185.0,3,7644
Chandapura,2 BHK,800.0,1.0,20.0,2,2500
other,2 BHK,1060.0,2.0,55.0,2,5188
7th Phase JP Nagar,2 BHK,1270.0,2.0,93.0,2,7322
other,2 BHK,900.0,2.0,22.5,2,2500
other,2 Bedroom,1280.0,2.0,69.0,2,5390
Horamavu Agara,4 Bedroom,1200.0,2.0,95.0,4,7916
Sarjapur  Road,2 BHK,1025.0,2.0,36.0,2,3512
Electronic City,2 BHK,1108.0,2.0,63.0,2,5685
other,5 Bedroom,1200.0,5.0,170.0,5,14166
other,3 BHK,3045.0,3.0,170.0,3,5582
Ambedkar Nagar,4 Bedroom,2900.0,3.0,300.0,4,10344
Vijayanagar,3 BHK,1500.0,3.0,75.5,3,5033
Raja Rajeshwari Nagar,2 BHK,1295.0,2.0,43.9,2,3389
Budigere,2 BHK,1162.0,2.0,59.9,2,5154
Sarjapur  Road,2 BHK,1035.0,2.0,49.2,2,4753
Attibele,4 Bedroom,1600.0,4.0,52.8,4,3300
other,3 BHK,1464.0,3.0,46.0,3,3142
Hennur Road,3 BHK,1866.0,2.0,61.58,3,3300
other,2 BHK,700.0,1.0,26.0,2,3714
Kalena Agrahara,3 BHK,1804.0,3.0,120.0,3,6651
Sarjapur,2 BHK,913.0,2.0,32.0,2,3504
Talaghattapura,3 BHK,1868.0,3.0,131.0,3,7012
Kengeri Satellite Town,2 BHK,883.0,2.0,45.0,2,5096
other,2 Bedroom,900.0,2.0,110.0,2,12222
Kogilu,3 BHK,1664.0,2.0,73.95,3,4444
Hegde Nagar,3 BHK,2026.0,3.0,132.0,3,6515
Balagere,2 BHK,1210.0,2.0,80.9,2,6685
other,4 Bedroom,4111.0,4.0,250.0,4,6081
Kadugodi,3 BHK,1762.0,3.0,91.45,3,5190
Jigani,3 BHK,1252.0,3.0,55.0,3,4392
Gollarapalya Hosahalli,2 BHK,861.0,2.0,34.5,2,4006
7th Phase JP Nagar,3 BHK,1420.0,2.0,100.0,3,7042
other,6 Bedroom,1450.0,6.0,250.0,6,17241
Electronics City Phase 1,3 BHK,1490.0,3.0,78.8,3,5288
Bisuvanahalli,3 BHK,1075.0,2.0,46.0,3,4279
Old Madras Road,3 BHK,1425.0,2.0,94.0,3,6596
Kalena Agrahara,2 BHK,1200.0,2.0,40.0,2,3333
Kaggadasapura,3 BHK,1280.0,2.0,56.0,3,4375
other,2 BHK,1084.0,2.0,50.0,2,4612
Chandapura,2 BHK,1015.0,2.0,25.88,2,2549
Kanakpura Road,2 BHK,1017.0,2.0,51.25,2,5039
Haralur Road,2 BHK,1027.0,2.0,44.0,2,4284
Electronic City Phase II,2 BHK,1069.0,2.0,45.0,2,4209
Hebbal,2 BHK,1349.0,2.0,98.2,2,7279
9th Phase JP Nagar,2 BHK,1005.0,2.0,50.0,2,4975
Jakkur,2 BHK,1417.0,2.0,75.0,2,5292
TC Palaya,3 Bedroom,1475.0,3.0,98.0,3,6644
other,2 BHK,950.0,2.0,47.0,2,4947
other,4 BHK,2000.0,4.0,120.0,4,6000
Giri Nagar,3 Bedroom,880.0,3.0,140.0,3,15909
Sarjapur  Road,4 BHK,1863.0,3.0,104.0,4,5582
Singasandra,2 BHK,1010.0,2.0,29.5,2,2920
Kalena Agrahara,3 BHK,1425.0,2.0,70.0,3,4912
Vijayanagar,3 BHK,1450.0,3.0,100.0,3,6896
Kothanur,3 BHK,1847.0,3.0,105.0,3,5684
AECS Layout,2 BHK,1100.0,2.0,45.0,2,4090
Kanakpura Road,1 BHK,525.0,1.0,26.0,1,4952
Mallasandra,3 BHK,1665.0,3.0,95.0,3,5705
Begur,4 BHK,1664.0,4.0,65.0,4,3906
JP Nagar,3 BHK,1850.0,3.0,150.0,3,8108
Panathur,2 BHK,1438.0,2.0,100.0,2,6954
other,3 BHK,1560.0,3.0,115.0,3,7371
Yelahanka,2 BHK,1350.0,2.0,55.55,2,4114
Kanakpura Road,3 BHK,1550.0,3.0,67.0,3,4322
Malleshpalya,2 BHK,1140.0,2.0,46.5,2,4078
other,5 Bedroom,1200.0,5.0,180.0,5,15000
other,2 BHK,850.0,2.0,27.0,2,3176
Whitefield,2 BHK,1280.0,2.0,75.0,2,5859
Munnekollal,2 BHK,1170.0,2.0,52.0,2,4444
other,2 BHK,1113.0,2.0,51.0,2,4582
Hennur Road,2 BHK,1385.0,2.0,83.09,2,5999
Electronic City,2 BHK,1128.0,2.0,65.0,2,5762
Marathahalli,2 Bedroom,1200.0,2.0,128.0,2,10666
other,4 Bedroom,1200.0,4.0,165.0,4,13750
Rajaji Nagar,3 BHK,2390.0,3.0,415.0,3,17364
Giri Nagar,4 Bedroom,2400.0,4.0,400.0,4,16666
Haralur Road,3 BHK,1464.0,3.0,56.0,3,3825
other,2 BHK,1200.0,2.0,55.0,2,4583
Kaval Byrasandra,2 BHK,1200.0,2.0,52.0,2,4333
Kaggalipura,3 BHK,1150.0,2.0,55.0,3,4782
other,3 BHK,1645.0,3.0,95.0,3,5775
Sarjapur  Road,2 BHK,1000.0,2.0,67.0,2,6700
Haralur Road,4 Bedroom,2650.0,4.0,198.0,4,7471
6th Phase JP Nagar,2 BHK,1192.0,2.0,74.0,2,6208
Ulsoor,3 BHK,2135.0,3.0,215.0,3,10070
Whitefield,2 BHK,1173.0,2.0,58.0,2,4944
Uttarahalli,2 BHK,1020.0,2.0,45.0,2,4411
Thigalarapalya,4 BHK,3122.0,6.0,230.0,4,7367
Somasundara Palya,3 BHK,1600.0,3.0,64.0,3,4000
other,2 Bedroom,1200.0,2.0,79.0,2,6583
other,2 BHK,1230.0,2.0,48.0,2,3902
Devarachikkanahalli,2 BHK,1250.0,2.0,40.0,2,3200
Kalena Agrahara,2 BHK,1325.0,2.0,76.0,2,5735
7th Phase JP Nagar,3 BHK,1850.0,3.0,150.0,3,8108
Basaveshwara Nagar,2 BHK,1200.0,2.0,65.0,2,5416
other,3 Bedroom,1350.0,2.0,140.0,3,10370
Bommasandra,3 BHK,1260.0,3.0,49.36,3,3917
other,3 BHK,1800.0,3.0,150.0,3,8333
other,3 Bedroom,11.0,3.0,74.0,3,672727
Ardendale,2 BHK,1100.0,2.0,43.25,2,3931
Harlur,2 BHK,1508.0,2.0,77.0,2,5106
other,3 BHK,1592.0,3.0,75.0,3,4711
Akshaya Nagar,2 BHK,1388.0,2.0,57.0,2,4106
Electronic City Phase II,1 BHK,630.0,1.0,28.35,1,4500
other,3 Bedroom,2000.0,3.0,365.0,3,18250
other,3 BHK,1762.0,3.0,125.0,3,7094
other,2 BHK,950.0,2.0,50.0,2,5263
Kodihalli,4 BHK,3252.0,5.0,335.0,4,10301
Magadi Road,2 BHK,1116.0,2.0,50.0,2,4480
Narayanapura,2 BHK,1308.0,2.0,89.04,2,6807
other,3 BHK,1200.0,3.0,90.0,3,7500
other,4 Bedroom,1500.0,4.0,230.0,4,15333
Bannerghatta Road,1 BHK,500.0,1.0,18.5,1,3700
Hennur,2 BHK,1075.0,2.0,52.0,2,4837
Chandapura,1 BHK,530.0,1.0,11.66,1,2200
Bellandur,2 BHK,1205.0,2.0,66.0,2,5477
5th Phase JP Nagar,2 BHK,1075.0,2.0,60.0,2,5581
KR Puram,2 BHK,930.0,2.0,39.0,2,4193
Balagere,2 BHK,1380.0,2.0,60.0,2,4347
Hebbal,4 BHK,2483.0,5.0,212.0,4,8538
Kodigehaali,2 BHK,1166.0,2.0,55.0,2,4716
Bannerghatta Road,2 BHK,1050.0,2.0,65.0,2,6190
other,3 BHK,2023.71,3.0,275.0,3,13588
Begur Road,2 BHK,1200.0,2.0,46.8,2,3900
Lakshminarayana Pura,3 BHK,1600.0,2.0,108.0,3,6750
Billekahalli,3 BHK,1935.0,3.0,110.0,3,5684
8th Phase JP Nagar,1 BHK,451.0,1.0,29.9,1,6629
Electronic City,3 BHK,1800.0,3.0,95.0,3,5277
Jalahalli,3 BHK,1400.0,3.0,77.0,3,5500
Hegde Nagar,3 BHK,1801.0,3.0,115.0,3,6385
Mahadevpura,2 BHK,1451.0,2.0,90.0,2,6202
Anekal,2 Bedroom,1200.0,1.0,36.0,2,3000
Begur Road,2 BHK,1160.0,2.0,44.0,2,3793
Kengeri,2 BHK,1000.0,2.0,25.0,2,2500
Kanakpura Road,2 BHK,950.0,2.0,40.0,2,4210
other,3 BHK,1629.0,3.0,79.0,3,4849
Vijayanagar,3 BHK,1580.0,2.0,134.0,3,8481
Vijayanagar,3 BHK,1826.0,3.0,121.0,3,6626
7th Phase JP Nagar,2 BHK,1245.0,2.0,94.0,2,7550
Raja Rajeshwari Nagar,2 BHK,1145.0,2.0,45.79,2,3999
Sompura,2 BHK,825.0,2.0,33.0,2,4000
Yeshwanthpur,3 BHK,1693.0,3.0,108.0,3,6379
Electronics City Phase 1,2 BHK,1113.27,2.0,53.0,2,4760
other,2 BHK,1460.0,2.0,58.0,2,3972
Doddathoguru,2 BHK,1050.0,2.0,32.0,2,3047
Dodda Nekkundi,2 BHK,1260.0,2.0,55.0,2,4365
other,6 BHK,700.0,3.0,120.0,6,17142
Hosur Road,2 BHK,1656.0,2.0,120.0,2,7246
Chandapura,3 BHK,1208.0,3.0,45.0,3,3725
Whitefield,3 BHK,1910.0,3.0,161.0,3,8429
Whitefield,4 BHK,3252.0,4.0,230.0,4,7072
Battarahalli,2 Bedroom,1200.0,2.0,65.0,2,5416
other,4 BHK,1200.0,4.0,175.0,4,14583
7th Phase JP Nagar,2 BHK,1175.0,2.0,82.0,2,6978
other,2 Bedroom,1000.0,2.0,165.0,2,16500
Bannerghatta Road,4 Bedroom,1200.0,2.0,125.0,4,10416
Rajaji Nagar,3 BHK,2390.0,3.0,410.0,3,17154
Rajaji Nagar,7 BHK,12000.0,6.0,2200.0,7,18333
Sultan Palaya,2 Bedroom,550.0,1.0,62.0,2,11272
other,2 BHK,1185.0,2.0,38.0,2,3206
Kengeri,2 BHK,750.0,2.0,38.0,2,5066
Mahalakshmi Layout,6 Bedroom,1200.0,7.0,250.0,6,20833
Kanakpura Road,3 BHK,1550.0,3.0,64.5,3,4161
other,3 BHK,1760.0,3.0,88.0,3,5000
Billekahalli,2 BHK,1125.0,2.0,62.0,2,5511
Nagarbhavi,3 Bedroom,1350.0,3.0,150.0,3,11111
Anandapura,2 Bedroom,1000.0,2.0,55.0,2,5500
Bommasandra Industrial Area,2 BHK,1090.0,2.0,31.48,2,2888
TC Palaya,2 Bedroom,1200.0,2.0,60.0,2,5000
Budigere,3 BHK,1991.0,4.0,103.0,3,5173
Bommasandra,2 BHK,1060.0,2.0,26.5,2,2500
Ambalipura,2 BHK,1105.0,2.0,75.0,2,6787
Hoodi,2 BHK,985.0,2.0,67.0,2,6802
Chandapura,6 Bedroom,1533.0,5.0,85.0,6,5544
Balagere,3 BHK,1590.0,3.0,79.0,3,4968
CV Raman Nagar,2 BHK,1120.0,2.0,55.0,2,4910
other,2 BHK,1069.0,2.0,55.0,2,5144
Marathahalli,3 BHK,1933.0,3.0,140.0,3,7242
Hosur Road,2 BHK,1194.0,2.0,69.0,2,5778
Brookefield,2 BHK,1150.0,2.0,69.0,2,6000
Yelenahalli,2 BHK,1240.0,2.0,47.12,2,3800
Raja Rajeshwari Nagar,2 BHK,1419.0,2.0,48.1,2,3389
7th Phase JP Nagar,8 Bedroom,1200.0,8.0,250.0,8,20833
other,3 BHK,2150.0,4.0,240.0,3,11162
other,3 BHK,1450.0,3.0,55.0,3,3793
other,3 BHK,1630.0,3.0,68.29,3,4189
Dasanapura,2 BHK,708.0,1.0,40.0,2,5649
Kasavanhalli,3 Bedroom,1000.0,4.0,110.0,3,11000
Whitefield,4 Bedroom,11890.0,4.0,700.0,4,5887
Bellandur,2 BHK,1250.0,2.0,76.0,2,6080
7th Phase JP Nagar,3 BHK,1400.0,2.0,95.0,3,6785
Sarjapur  Road,3 BHK,1670.0,2.0,57.0,3,3413
Ardendale,3 BHK,1750.0,3.0,100.0,3,5714
Vittasandra,2 BHK,1404.0,2.0,71.0,2,5056
Hoodi,3 BHK,1715.0,2.0,95.0,3,5539
Electronic City,1 BHK,630.0,1.0,34.65,1,5500
Harlur,3 BHK,1752.12,3.0,135.0,3,7704
Hulimavu,3 BHK,1650.0,3.0,78.0,3,4727
Raja Rajeshwari Nagar,2 BHK,1295.0,2.0,55.47,2,4283
Giri Nagar,3 Bedroom,1800.0,3.0,252.0,3,14000
Sarjapur  Road,2 BHK,1346.0,2.0,74.03,2,5500
other,4 Bedroom,1200.0,4.0,200.0,4,16666
Hormavu,2 BHK,1150.0,2.0,55.0,2,4782
other,4 Bedroom,3309.0,4.0,325.0,4,9821
