Date,Open,High,Low,Close,Volume
10-Oct-16,115.02,116.75,114.72,116.05,36235956
7-Oct-16,114.31,114.56,113.51,114.06,24358443
6-Oct-16,113.70,114.34,113.13,113.89,28779313
5-Oct-16,113.40,113.66,112.69,113.05,21453089
4-Oct-16,113.06,114.31,112.63,113.00,29736835
3-Oct-16,112.71,113.05,112.28,112.52,21701760
30-Sep-16,112.46,113.37,111.80,113.05,36379106
29-Sep-16,113.16,113.80,111.80,112.18,35886990
28-Sep-16,113.69,114.64,113.43,113.95,29641085
27-Sep-16,113.00,113.18,112.34,113.09,24607412
26-Sep-16,111.64,113.39,111.55,112.88,29869442
23-Sep-16,114.42,114.79,111.55,112.71,52481151
22-Sep-16,114.35,114.94,114.00,114.62,31073984
21-Sep-16,113.85,113.99,112.44,113.55,36003185
20-Sep-16,113.05,114.12,112.51,113.57,34514269
19-Sep-16,115.19,116.18,113.25,113.58,47023046
16-Sep-16,115.12,116.13,114.04,114.92,79886911
15-Sep-16,113.86,115.73,113.49,115.57,90613177
14-Sep-16,108.73,113.03,108.60,111.77,112340318
13-Sep-16,107.51,108.79,107.24,107.95,62176190
12-Sep-16,102.65,105.72,102.53,105.44,45292770
9-Sep-16,104.64,105.72,103.13,103.13,46556984
8-Sep-16,107.25,107.27,105.24,105.52,53002026
7-Sep-16,107.83,108.76,107.07,108.36,42364328
6-Sep-16,107.90,108.30,107.51,107.70,26880391
2-Sep-16,107.70,108.00,106.82,107.73,26334858
1-Sep-16,106.14,106.80,105.62,106.73,26701523
31-Aug-16,105.66,106.57,105.64,106.10,29662406
30-Aug-16,105.80,106.50,105.50,106.00,24863945
29-Aug-16,106.62,107.44,106.29,106.82,24970300
26-Aug-16,107.41,107.95,106.31,106.94,27766291
25-Aug-16,107.39,107.88,106.68,107.57,25086248
24-Aug-16,108.56,108.75,107.68,108.03,23675081
23-Aug-16,108.59,109.32,108.53,108.85,21257669
22-Aug-16,108.86,109.10,107.85,108.51,25820230
19-Aug-16,108.77,109.69,108.36,109.36,25368072
18-Aug-16,109.23,109.60,109.02,109.08,21984703
17-Aug-16,109.10,109.37,108.34,109.22,25355976
16-Aug-16,109.63,110.23,109.21,109.38,33794448
15-Aug-16,108.14,109.54,108.08,109.48,25868209
12-Aug-16,107.78,108.44,107.78,108.18,18660434
11-Aug-16,108.52,108.93,107.85,107.93,27484506
10-Aug-16,108.71,108.90,107.76,108.00,24008505
9-Aug-16,108.23,108.94,108.01,108.81,26315204
8-Aug-16,107.52,108.37,107.16,108.37,28037220
5-Aug-16,106.27,107.65,106.18,107.48,40553402
4-Aug-16,105.58,106.00,105.28,105.87,27408650
3-Aug-16,104.81,105.84,104.77,105.79,30202641
2-Aug-16,106.05,106.07,104.00,104.48,33816556
1-Aug-16,104.41,106.15,104.41,106.05,38167871
29-Jul-16,104.19,104.55,103.68,104.21,27733688
28-Jul-16,102.83,104.45,102.82,104.34,39869839
27-Jul-16,104.26,104.35,102.75,102.95,92344820
26-Jul-16,96.82,97.97,96.42,96.67,56239822
25-Jul-16,98.25,98.84,96.92,97.34,40382921
22-Jul-16,99.26,99.30,98.31,98.66,28313669
21-Jul-16,99.83,101.00,99.13,99.43,32702028
20-Jul-16,100.00,100.46,99.74,99.96,26275968
19-Jul-16,99.56,100.00,99.34,99.87,23779924
18-Jul-16,98.70,100.13,98.60,99.83,36493867
15-Jul-16,98.92,99.30,98.50,98.78,30136990
14-Jul-16,97.39,98.99,97.32,98.79,38918997
13-Jul-16,97.41,97.67,96.84,96.87,25892171
12-Jul-16,97.17,97.70,97.12,97.42,24167463
11-Jul-16,96.75,97.65,96.73,96.98,23794945
